City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
204,Nikolskoye,59.7035,30.7861,36.72,light snow,98,100,9.19,RU,2022-02-13 01:47:05
205,Am Timan,11.0297,20.2827,72.37,scattered clouds,15,37,6.69,TD,2022-02-13 01:47:06
206,Canmore,51.0834,-115.3521,44.71,broken clouds,41,72,9.22,CA,2022-02-13 01:47:06
207,Mahebourg,-20.4081,57.7,79.09,broken clouds,94,75,8.05,MU,2022-02-13 01:47:07
208,Novocheremshansk,54.3571,50.1666,15.87,snow,97,80,6.35,RU,2022-02-13 01:47:07
209,San Luis,-33.295,-66.3356,59.09,clear sky,36,0,10.0,AR,2022-02-13 01:47:07
210,Iqaluit,63.7506,-68.5145,-22.27,overcast clouds,76,100,4.61,CA,2022-02-13 01:47:08
211,Luzhou,28.8724,105.4405,51.85,overcast clouds,70,99,4.5,CN,2022-02-13 01:47:08
212,Hofn,64.2539,-15.2082,22.48,overcast clouds,69,100,18.07,IS,2022-02-13 01:47:09
213,Belaya Gora,68.5333,146.4167,-12.21,overcast clouds,92,100,6.04,RU,2022-02-13 01:47:10
214,Bukachacha,52.9833,116.9167,-5.71,broken clouds,83,78,2.53,RU,2022-02-13 01:47:10
215,Inuvik,68.3499,-133.7218,-24.74,scattered clouds,68,40,3.44,CA,2022-02-13 01:47:11
216,Los Mochis,25.7667,-108.9667,65.07,broken clouds,49,63,7.52,MX,2022-02-13 01:42:53
217,Nanortalik,60.1432,-45.2371,27.66,snow,95,100,9.24,GL,2022-02-13 01:47:11
218,Vila Velha,-20.3297,-40.2925,75.15,moderate rain,95,75,2.3,BR,2022-02-13 01:47:12
219,Rodney,42.5668,-81.6831,15.98,broken clouds,74,65,5.84,CA,2022-02-13 01:47:12
220,Hobyo,5.3505,48.5268,75.9,overcast clouds,74,100,13.13,SO,2022-02-13 01:47:13
221,Havelock,34.8791,-76.9013,59.95,scattered clouds,72,40,5.75,US,2022-02-13 01:46:23
222,Hattiesburg,31.3271,-89.2903,57.22,broken clouds,59,75,12.66,US,2022-02-13 01:47:13
223,Loreto,22.2667,-101.9667,53.94,clear sky,14,0,6.6,MX,2022-02-13 01:47:14
224,Abbeville,50.1,1.8333,37.94,scattered clouds,78,35,10.18,FR,2022-02-13 01:48:15
225,Konstantinovka,49.6167,127.9833,3.79,overcast clouds,89,100,9.64,RU,2022-02-13 01:48:15
226,Homer,59.6425,-151.5483,35.76,overcast clouds,91,100,0.0,US,2022-02-13 01:48:16
227,Katsuura,35.1333,140.3,46.42,light rain,73,100,3.42,JP,2022-02-13 01:48:16
228,Grand-Santi,4.25,-54.3833,71.35,overcast clouds,99,95,2.15,GF,2022-02-13 01:48:16
229,Chunskiy,56.0815,99.6342,-16.55,scattered clouds,98,30,2.95,RU,2022-02-13 01:48:17
230,Saskatoon,52.1168,-106.6345,7.16,few clouds,78,20,9.22,CA,2022-02-13 01:45:02
231,Saint George,37.1041,-113.5841,64.99,clear sky,13,0,4.61,US,2022-02-13 01:44:36
232,Prado,-17.3411,-39.2208,76.24,light rain,88,100,4.7,BR,2022-02-13 01:44:07
233,Suslovo,56.2167,88.1167,-3.89,clear sky,89,6,11.21,RU,2022-02-13 01:48:18
234,Tiksi,71.6872,128.8694,-6.52,overcast clouds,88,100,15.55,RU,2022-02-13 01:48:18
235,Xining,36.6167,101.7667,18.45,few clouds,57,23,1.83,CN,2022-02-13 01:48:19
236,Nabire,-3.3667,135.4833,80.01,overcast clouds,86,99,2.24,ID,2022-02-13 01:48:19
237,Vylkove,45.4021,29.586,35.13,overcast clouds,74,99,8.32,UA,2022-02-13 01:48:20
238,Verkhnevilyuysk,63.4453,120.3167,-16.17,overcast clouds,97,99,2.55,RU,2022-02-13 01:48:20
